suite,query,plan,plan_kind,source_file,repetition,execution_order,seconds,status,error
job,15d,rewrite8,rewrite,job-15d/rewrite8.sql,6,247,4.157000000,ok,
job,15d,rewrite2,rewrite,job-15d/rewrite2.sql,6,248,4.559000000,ok,
job,17a,rewrite2,rewrite,job-17a/rewrite2.sql,6,249,3.864000000,ok,
job,22d,rewrite6,rewrite,job-22d/rewrite6.sql,6,250,7.589000000,ok,
job,22d,rewrite8,rewrite,job-22d/rewrite8.sql,6,251,10.346000000,ok,
job,17a,rewrite8,rewrite,job-17a/rewrite8.sql,6,252,4.077000000,ok,
lsqb,q1,rewrite4,rewrite,lsqb-q1/rewrite4.sql,7,253,1.512000000,ok,
job,17a,rewrite6,rewrite,job-17a/rewrite6.sql,7,254,5.328000000,ok,
job,15d,rewrite1,rewrite,job-15d/rewrite1.sql,7,255,2.733000000,ok,
lsqb,q1,rewrite8,rewrite,lsqb-q1/rewrite8.sql,7,256,1.079000000,ok,
job,2d,rewrite6,rewrite,job-2d/rewrite6.sql,7,257,1.142000000,ok,
job,22d,rewrite5,rewrite,job-22d/rewrite5.sql,7,258,7.681000000,ok,
job,2d,rewrite5,rewrite,job-2d/rewrite5.sql,7,259,6.556000000,ok,
job,15d,rewrite2,rewrite,job-15d/rewrite2.sql,7,260,4.113000000,ok,
job,17a,rewrite5,rewrite,job-17a/rewrite5.sql,7,261,4.272000000,ok,
job,15d,rewrite3,rewrite,job-15d/rewrite3.sql,7,262,2.840000000,ok,
job,15d,rewrite5,rewrite,job-15d/rewrite5.sql,7,263,4.888000000,ok,
job,17a,rewrite8,rewrite,job-17a/rewrite8.sql,7,264,4.357000000,ok,
job,17a,rewrite2,rewrite,job-17a/rewrite2.sql,7,265,3.866000000,ok,
lsqb,q1,rewrite7,rewrite,lsqb-q1/rewrite7.sql,7,266,1.095000000,ok,
job,17a,rewrite3,rewrite,job-17a/rewrite3.sql,7,267,3.915000000,ok,
job,22d,rewrite4,rewrite,job-22d/rewrite4.sql,7,268,4.185000000,ok,
job,2d,query,original,job-2d/query.sql,7,269,1.379000000,ok,
job,22d,rewrite7,rewrite,job-22d/rewrite7.sql,7,270,15.326000000,ok,
job,17a,query,original,job-17a/query.sql,7,271,7.422000000,ok,
lsqb,q1,rewrite5,rewrite,lsqb-q1/rewrite5.sql,7,272,1.288000000,ok,
job,22d,rewrite8,rewrite,job-22d/rewrite8.sql,7,273,8.113000000,ok,
job,22d,rewrite2,rewrite,job-22d/rewrite2.sql,7,274,4.176000000,ok,
job,15d,rewrite8,rewrite,job-15d/rewrite8.sql,7,275,4.634000000,ok,
lsqb,q1,query,original,lsqb-q1/query.sql,7,276,4.744000000,ok,
lsqb,q1,rewrite2,rewrite,lsqb-q1/rewrite2.sql,7,277,1.366000000,ok,
job,22d,rewrite6,rewrite,job-22d/rewrite6.sql,7,278,7.404000000,ok,
job,22d,query,original,job-22d/query.sql,7,279,9.159000000,ok,
job,2d,rewrite4,rewrite,job-2d/rewrite4.sql,7,280,7.029000000,ok,
job,15d,rewrite7,rewrite,job-15d/rewrite7.sql,7,281,2.307000000,ok,
lsqb,q1,rewrite3,rewrite,lsqb-q1/rewrite3.sql,7,282,1.024000000,ok,
job,17a,rewrite1,rewrite,job-17a/rewrite1.sql,7,283,6.597000000,ok,
job,15d,rewrite6,rewrite,job-15d/rewrite6.sql,7,284,2.774000000,ok,
job,15d,query,original,job-15d/query.sql,7,285,5.802000000,ok,
lsqb,q1,rewrite6,rewrite,lsqb-q1/rewrite6.sql,7,286,1.083000000,ok,
job,17a,rewrite7,rewrite,job-17a/rewrite7.sql,7,287,4.537000000,ok,
job,15d,rewrite4,rewrite,job-15d/rewrite4.sql,7,288,8.114000000,ok,
job,17a,rewrite4,rewrite,job-17a/rewrite4.sql,7,289,6.585000000,ok,
job,22d,rewrite1,rewrite,job-22d/rewrite1.sql,7,290,4.351000000,ok,
job,2d,rewrite1,rewrite,job-2d/rewrite1.sql,7,291,2.404000000,ok,
job,2d,rewrite2,rewrite,job-2d/rewrite2.sql,7,292,1.757000000,ok,
job,22d,rewrite3,rewrite,job-22d/rewrite3.sql,7,293,5.168000000,ok,
job,2d,rewrite3,rewrite,job-2d/rewrite3.sql,7,294,1.269000000,ok,
job,15d,rewrite5,rewrite,job-15d/rewrite5.sql,8,295,4.664000000,ok,
job,22d,rewrite8,rewrite,job-22d/rewrite8.sql,8,296,10.359000000,ok,
job,17a,rewrite3,rewrite,job-17a/rewrite3.sql,8,297,3.975000000,ok,
job,15d,rewrite1,rewrite,job-15d/rewrite1.sql,8,298,2.771000000,ok,
job,22d,rewrite2,rewrite,job-22d/rewrite2.sql,8,299,4.195000000,ok,
job,2d,rewrite5,rewrite,job-2d/rewrite5.sql,8,300,6.572000000,ok,
job,2d,rewrite4,rewrite,job-2d/rewrite4.sql,8,301,6.991000000,ok,
job,22d,rewrite4,rewrite,job-22d/rewrite4.sql,8,302,4.687000000,ok,
lsqb,q1,rewrite2,rewrite,lsqb-q1/rewrite2.sql,8,303,1.610000000,ok,
job,17a,rewrite4,rewrite,job-17a/rewrite4.sql,8,304,6.931000000,ok,
job,17a,rewrite6,rewrite,job-17a/rewrite6.sql,8,305,5.944000000,ok,
lsqb,q1,rewrite5,rewrite,lsqb-q1/rewrite5.sql,8,306,1.628000000,ok,
job,2d,rewrite6,rewrite,job-2d/rewrite6.sql,8,307,1.060000000,ok,
job,22d,query,original,job-22d/query.sql,8,308,8.847000000,ok,
job,17a,rewrite5,rewrite,job-17a/rewrite5.sql,8,309,4.295000000,ok,
lsqb,q1,rewrite8,rewrite,lsqb-q1/rewrite8.sql,8,310,1.039000000,ok,
job,17a,rewrite1,rewrite,job-17a/rewrite1.sql,8,311,6.223000000,ok,
job,17a,rewrite7,rewrite,job-17a/rewrite7.sql,8,312,4.783000000,ok,
lsqb,q1,rewrite4,rewrite,lsqb-q1/rewrite4.sql,8,313,1.568000000,ok,
job,15d,query,original,job-15d/query.sql,8,314,5.814000000,ok,
job,22d,rewrite6,rewrite,job-22d/rewrite6.sql,8,315,8.135000000,ok,
